county_fips_code,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mc_preschool
37077,6.06,5.63,6.47,5.7,5.4,6,73.5,77.5,81.7,67.9,71.2,10.9,13.9,55628,32456,28960,36841,58874,96.1,61,30.4,0.6,0.5,0,3.6,3.9,7.8,21030,1288,395,143,1139,3395,978,125,2536,33.81,28.99,38.81,18.71,16.67,20.83,19.13,11.51,27.04,10.19,19.45,0.57,18.16,23.38,12.74,90.26,116.99
37183,4.3,4.62,4.01,4,4.3,3.7,76.8,70.6,78.9,66.1,88.9,6.5,9.8,76956,40849,35073,48428,1046558,96.9,65.8,20.3,0.4,6.7,0,3.8,3.1,10.1,390498,34377,22075,1657,15409,81757,36354,3884,36485,50.71,48.51,53.14,13.72,11.96,15.66,21.98,17.86,26.52,5.84,10.51,0.68,7.76,11.16,4,131.92,170.99
37089,2.88,2.7,3.03,2.7,2.7,2.7,70.5,66.5,81.7,62.8,84,7.1,10.6,52815,30631,27654,35207,113625,98.3,90.8,3.3,0.3,1.3,0.1,2.5,1.7,10.1,48281,2509,2048,44,1744,6756,2908,275,3339,33.03,26.24,40.56,17.12,15.18,19.27,22.66,15.01,31.14,10.37,19.26,0.52,16.81,24.3,8.52,100.29,129.99
37157,6.11,6.39,5.85,6,6.3,5.7,66.2,67,71.6,69.7,77.4,14.2,18,42490,28196,22926,32183,91270,98,75.7,18.5,0.5,0.6,0.1,2.7,2,6,37201,1767,945,279,2267,4419,1669,420,4111,25.52,19.89,31.69,19.4,15.32,23.89,22.46,12.53,33.37,11.82,21.66,1.02,20.8,30.6,10.03,65.58,84.99
37017,7.1,7.54,6.66,6.2,6.4,6.1,59.7,70.3,77.7,48.4,70.8,20.7,26,32378,27272,23185,30504,33778,98.9,57.1,35,2.5,0.1,0,4.1,1.1,7.5,13968,422,409,42,897,1233,969,91,1843,26.29,18.52,34.43,20.42,15.15,25.95,18.4,11.15,26,18.64,34.04,2.5,16.25,21.13,11.13,77.15,99.99
37057,7.19,7.66,6.77,6.8,7.3,6.3,70.3,73.7,76.1,65.1,82.8,11.7,15.5,47271,30920,25697,35594,164664,98.3,85.7,9.1,0.3,1.5,0,1.7,1.7,7,65471,4156,2083,112,2339,11620,5074,474,4939,28.95,23.05,35.76,15.45,12.24,19.16,22.14,13.99,31.54,10.67,19.11,0.93,22.79,31.6,12.62,92.58,119.99
37023,8.87,7.58,10.07,8.4,7.7,9,69,80,76.7,64.7,73.4,13.8,18.1,42516,27057,22825,30016,89712,98.3,84.7,6.5,0.6,3.6,0.2,2.8,1.7,6,34672,1500,935,106,1727,4863,1322,542,2870,28.65,22.2,35.47,21.53,16.82,26.52,17.48,11.08,24.25,8.96,16.64,0.83,23.38,33.26,12.92,80.3,104.08
37181,9.35,8.89,9.84,8.1,7.7,8.5,71.1,82.7,88.4,66.9,73.4,18,23.9,37282,24509,21953,26400,44482,97.9,43.6,50.1,1.7,0.6,0.1,1.8,2.1,7.6,16854,594,249,40,1765,2009,721,217,2983,23.05,19.22,26.62,20.04,13.74,25.9,20.98,10.41,30.82,10.52,20.19,1.52,25.41,36.44,15.14,92.58,119.99
37087,4.73,4.13,5.27,4,3.5,4.4,67.4,69.5,75.2,52.1,79.7,10.3,13.9,49800,29189,24694,35487,60433,98.5,95.6,1,0.5,0.5,0,0.9,1.5,3.8,26336,1013,933,87,1033,2924,1261,187,1758,32.44,26.73,38.7,21.13,17.25,25.38,20.19,12.7,28.4,12.11,22.56,0.66,14.13,20.76,6.86,84.86,109.99
37069,5.49,5.38,5.58,4.9,4.2,5.5,71.2,75,74.9,53,78.9,10.4,14.4,53175,32218,30239,35675,64902,97.6,67.7,25.3,1.2,0.6,0.2,2.7,2.4,8.1,24749,1375,1237,99,1133,3670,2239,214,2383,33.15,27.59,39.45,17.78,14.08,21.97,21.7,13.02,31.54,13.1,23.3,1.54,14.27,22,5.5,104.15,134.99
37151,5.35,6.31,4.51,4.8,5.8,3.9,70.3,66.6,72.6,63.3,81.7,11.3,15.8,45006,29863,25176,33462,142958,98,84.4,6.3,0.5,1.2,0.1,5.7,2,11.2,56041,3288,2169,175,2166,9157,4224,684,5451,27.07,21.65,33.31,15.35,12.49,18.64,21.5,13.23,31.02,11.12,19.63,1.32,24.95,32.99,15.71,92.58,119.99
37031,6.59,6.7,6.49,5.9,6.1,5.7,71.1,80.1,78.8,70.2,79.8,8.1,11.6,54428,29659,25029,34244,68920,97.4,89.9,5.6,0.3,1.1,0.1,0.4,2.6,4.3,29690,1481,620,55,972,3906,1432,273,2141,35.27,29.21,41.78,20.22,18.49,22.08,22.43,15.17,30.22,12.41,23.07,0.96,9.67,14.05,4.96,100.29,129.99
37055,5.25,3.94,6.47,4.7,3.6,5.8,78.2,77.2,85.4,69.3,84.9,5.8,8.2,58012,28330,25866,31135,35741,97.3,92.6,2.2,0.3,0.6,0,1.6,2.7,7.2,15441,894,556,45,323,2305,745,192,1048,33.86,30.92,36.92,19.71,17.77,21.74,25.84,15.92,36.19,11.85,21.74,1.55,8.73,13.65,3.6,127.29,164.99
37101,5.48,5.19,5.74,4.8,4.8,4.7,73.1,74.8,80.2,65.3,81.6,9.6,13.3,56842,31797,27506,35804,191172,97.4,77.5,15.6,0.7,0.6,0,2.9,2.6,13.5,67154,5668,3584,338,3456,16490,5411,1016,7869,35.46,30.54,40.8,16.08,12.84,19.6,23.48,15.17,32.47,12.48,23.11,0.96,12.49,18.33,6.17,107.24,138.99
37187,7.46,7.65,7.29,5.7,7.1,4.5,55.9,53.8,63,61.1,76.7,18.3,23.5,35512,23989,16767,32463,12156,96.6,46.6,47.3,0.3,0.2,0,2.1,3.4,5.3,5073,66,54,0,514,246,393,35,758,17.06,14.87,19.51,22.18,17.72,27.18,21.62,10.79,33.75,13.29,23.63,1.71,25.84,32.98,17.85,77.09,99.92
37111,5.77,5.04,6.41,5.8,4.8,6.6,64.2,75,74.9,78.4,72.2,13.1,17.1,40913,29196,25641,31425,45109,98.6,91.1,3.6,0.4,0.7,0,2.8,1.4,6,17961,1207,312,39,396,2611,832,452,1429,27.31,19.09,36.42,17.96,15.07,21.15,17.28,13.22,21.79,10.91,19.66,1.2,26.54,32.95,19.44,123.21,159.7
37137,7.93,6.1,9.65,7.2,4.9,9.4,66.4,67.1,75.5,55.6,64.1,8.8,14.1,44947,26200,23478,29405,12742,96.4,76.1,18.2,0.2,0.6,0,1.2,3.6,3.7,5352,180,98,34,132,555,178,139,375,31.27,22.72,40.05,16.1,12.74,19.56,20.89,10.64,31.41,16.67,32,0.93,15.06,21.9,8.05,61.07,79.15
37155,8.13,8.2,8.06,7.8,7.9,7.7,60.3,62.9,71.7,58.1,66.5,22.7,28.1,33679,26549,23726,30644,133442,97.8,28.6,24,39.4,0.6,0,5.1,2.2,8.7,45969,2287,1838,233,4291,5668,3383,714,8149,26.1,18.04,34.38,18.6,14.38,22.94,18.37,11.11,25.82,14.5,26.73,1.95,22.42,29.74,14.91,78.69,101.99
