year,city,spend_per_resident_data,pct_near_park_points
2017,St. Paul,202,39
2017,San Francisco,235,40
2017,"Washington, D.C.",270,39
2017,Portland,165,33
2017,"Arlington, Virginia",230,39
2017,Irvine,252,27
2017,New York,179,39
2017,Madison,126,35
2017,Cincinnati,191,25
2017,Chicago,173,39
2017,Seattle,279,37
2017,Boston,112,39
2017,San Diego,120,28
2017,Aurora,139,33
2017,St. Petersburg,133,25
2017,Albuquerque,58,31
2017,Plano,147,26
2017,St. Louis,271,35
2017,Denver,115,33
2017,Milwaukee,115,34
2017,Omaha,76,28
2017,Sacramento,122,29
2017,Fremont,128,19
2017,Las Vegas,127,24
2017,Lincoln,88,33
2017,Long Beach,205,30
2017,Oakland,145,32
2017,San Jose,147,27
2017,Virginia Beach,177,18
2017,Anchorage,93,25
2017,Henderson,148,13
2017,Honolulu,51,32
2017,Philadelphia,59,37
2017,Boise,144,19
2017,Raleigh,202,15
2017,New Orleans,116,28
2017,Kansas City,122,21
2017,Pittsburgh,69,32
2017,Jersey City,27,36
2017,Tampa,147,18
2017,Colorado Springs,76,24
2017,Norfolk,74,25
2017,Scottsdale,105,6
2017,Cleveland,100,29
2017,Austin,103,15
2017,North Las Vegas,86,17
2017,Miami,100,30
2017,Richmond,75,26
2017,Atlanta,134,22
2017,Dallas,81,18
2017,Chesapeake,80,6
2017,Baltimore,70,32
2017,Nashville,106,7
2017,Orlando,124,17
2017,Columbus,101,14
2017,Phoenix,80,10
2017,Buffalo,48,32
2017,"Arlington, Texas",90,16
2017,Chandler,71,18
2017,Corpus Christi,73,25
2017,Tulsa,58,16
2017,Anaheim,72,19
2017,Garland,71,16
2017,Glendale,30,25
2017,Lexington,82,13
2017,Riverside,68,11
2017,Toledo,44,27
2017,Greensboro,67,18
2017,San Antonio,95,6
2017,Bakersfield,80,9
2017,Durham,73,12
2017,Reno,49,25
2017,Los Angeles,85,15
2017,Chula Vista,44,15
2017,Detroit,21,28
2017,Santa Ana,46,25
2017,Stockton,24,25
2017,El Paso,34,12
